"","PM","ECO","lyr_bot","d14c","rep","Year","Al_ox","Al_py","Fe_dc","Fe_ox","year"
"18","basalt","cool",30,97.145901053266,"a",2001,22.686697815354,2.15227285120966,12.45425078361,2.10244120668552,1
"19","granite","warm",10,166.971566592339,"a",2001,1.08901427369773,1.08223136144367,7.62654034665593,0.989735495346631,1
"20","granite","warm",20,43.4849487940874,"a",2001,0.96115055256264,0.86211550306783,8.14704269530666,0.867982880951397,1
"21","granite","warm",30,-70.1551878994253,"a",2001,0.877345163071333,0.653991851540573,9.50367411754546,0.777225301712144,1
"22","granite","cold",10,5.5709733234468,"a",2001,2.70034415866976,2.70034415866976,2.49417311233336,2.00460326789689,1
"25","granite","cool",10,130.97998651246,"a",2001,6.10012182889486,2.60923985751654,4.29521158151286,2.73261788917358,1
"26","granite","cool",20,47.4346880654677,"a",2001,4.58623547534661,2.00122545061734,4.28988818440717,2.61820987117567,1
"27","granite","cool",30,11.0455945287491,"a",2001,4.38713157937025,1.66588539544517,4.39317534036228,2.56338952264469,1
"28","andesite","warm",10,155.069773454386,"b",2001,15.6918904381968,5.43564956456918,39.6206027811948,4.39062672521814,1
"29","andesite","warm",20,98.6506146863595,"b",2001,16.7799261541642,4.1927233983413,45.1277220851047,4.61678690883707,1
"30","andesite","warm",30,47.9429834893952,"b",2001,15.9847030576769,3.83467001667087,46.7148174185386,4.55662606428335,1
"31","andesite","cold",10,114.357475064758,"b",2001,31.5737866273885,7.15323273973237,10.3708054908725,5.67885790550017,1
"32","andesite","cold",20,53.2972882721947,"b",2001,34.4341740727262,5.47787986595205,11.5778196020113,5.95011093385526,1
"33","andesite","cold",30,9.13426008889484,"b",2001,34.1444201028567,5.11890056399373,11.5819687427447,5.9917516260884,1
"34","andesite","cool",10,93.712029920187,"b",2001,31.7198622863752,10.3290278986733,13.2222795835593,6.496340690641,1
"35","andesite","cool",20,85.8926688697959,"b",2001,36.7120681293262,8.841328929924,15.2385400632336,6.84522811291924,1
"36","andesite","cool",30,79.7222887211877,"b",2001,38.8096544688208,7.14737383075395,16.1420546926304,7.00742330836137,1
"37","basalt","warm",10,122.954585155193,"b",2001,8.47927902097102,4.56953397512228,46.4508757659556,2.5564697760045,1
"38","basalt","warm",20,77.222786754225,"b",2001,8.82680778847546,4.74536175646616,48.3893041649917,2.27326136105573,1
"39","basalt","warm",30,21.2714662472511,"b",2001,7.96982583224705,4.21171321934301,51.6521821073928,2.04282313997897,1
"40","basalt","cold",10,118.807639276113,"b",2001,5.62652899702271,2.18857753464796,6.76326669255518,2.83663187854641,1
"41","basalt","cold",20,136.044826873674,"b",2001,11.8709992665818,2.64704042697527,8.91707652707603,3.23866872498817,1
"42","basalt","cold",30,109.092475544467,"b",2001,14.2486579764587,2.79751586167425,9.62701753027015,3.42016534864106,1
"43","basalt","cool",10,106.519127269463,"b",2001,18.3833879406017,7.02995344498555,7.54486741560158,2.60374031620789,1
"44","basalt","cool",20,101.856191896838,"b",2001,20.9143932096374,4.02855771861269,10.6457699677523,2.29614424664402,1
"45","basalt","cool",30,100.779357187778,"b",2001,22.686697815354,2.15227285120966,12.45425078361,2.10244120668552,1
"46","granite","warm",10,165.659952134556,"b",2001,1.08901427369773,1.08223136144367,7.62654034665593,0.989735495346631,1
"47","granite","warm",20,88.3860298709531,"b",2001,0.96115055256264,0.86211550306783,8.14704269530666,0.867982880951397,1
"48","granite","warm",30,60.1652128773587,"b",2001,0.877345163071333,0.653991851540573,9.50367411754546,0.777225301712144,1
"49","granite","cold",10,55.1168292098063,"b",2001,2.70034415866976,2.70034415866976,2.49417311233336,2.00460326789689,1
"50","granite","cold",20,-109.540544071034,"b",2001,2.68954205973229,2.68954205973229,2.72150592369395,1.83789839965424,1
