"","PMeco","depth","pro_rep","Year","PM","ECO","lyr_top","lyr_bot","pro_name","lyr_name","fm","fm_err","d14c","d14c_err","bd_g_cm3","C","N","lyr_soc","lyr_soc_cmtv"
"4...64","BSpp","10-20",1,2019,"BS","pp",10,20,"BSpp_1","BSpp_1_10-20",1.04,0.0028,31.2,2.8,0.731861521643867,4.24660539627075,0.156405434012413,3.10792708713577,7.14199446036501
"5...65","BSpp","10-20",2,2019,"BS","pp",10,20,"BSpp_2","BSpp_2_10-20",1.0389,0.003,30.2,3,0.731861521643867,2.67755746841431,0.106669865548611,1.9596012831226,5.45199882383095
"6...66","BSpp","10-20",3,2019,"BS","pp",10,20,"BSpp_3","BSpp_3_10-20",1.0438,0.0021,35,2.1,0.731861521643867,3.94457411766052,0.141964912414551,2.88688201598804,5.29927453134339
"7...67","BSpp","20-30",1,2019,"BS","pp",20,30,"BSpp_1","BSpp_1_20-30",0.9522,0.0022,-55.8,2.2,0.847223792398528,1.38368725776672,0.0748450979590416,1.17229276601864,8.31428722638364
"8...68","BSpp","20-30",2,2019,"BS","pp",20,30,"BSpp_2","BSpp_2_20-30",0.9727,0.0028,-35.5,2.8,0.847223792398528,1.4065123796463,0.069418728351593,1.19163075233942,6.64362957617036
"9...69","BSpp","20-30",3,2019,"BS","pp",20,30,"BSpp_3","BSpp_3_20-30",1.0324,0.0019,23.7,1.9,0.847223792398528,1.93087422847748,0.0859675332903862,1.63588258649527,6.93515711783866
"10...70","BSpp","30-40",1,2019,"BS","pp",30,40,"BSpp_1","BSpp_1_30-40",0.9757,0.0028,-32.5,2.8,0.94107151275427,1.53129541873932,0.0744604468345642,1.4410584961867,9.75534572257034
"11...71","BSpp","30-40",2,2019,"BS","pp",30,40,"BSpp_2","BSpp_2_30-40",0.9703,0.0021,-37.9,2.1,0.94107151275427,1.13991391658783,0.0551338084042072,1.07274051389295,7.71637009006332
"12...72","BSpp","30-40",3,2019,"BS","pp",30,40,"BSpp_3","BSpp_3_30-40",1.0073,0.0021,-1.2,2.1,0.94107151275427,1.53292202949524,0.0712321028113365,1.44258925323143,8.3777463710701
"13...73","BSpp","40-50",1,2019,"BS","pp",40,50,"BSpp_1","BSpp_1_40-50",0.9681,0.002,-40.1,2,0.945097691642657,1.14617800712585,0.0520835183560848,1.08325018874622,10.8385959113166
"14...74","BSpp","40-50",2,2019,"BS","pp",40,50,"BSpp_2","BSpp_2_40-50",0.9923,0.0019,-16,1.9,0.945097691642657,1.19582104682922,0.0524737499654293,1.130167710976,8.84653780103932
"15...75","BSpp","40-50",3,2019,"BS","pp",40,50,"BSpp_3","BSpp_3_40-50",0.9758,0.0019,-32.5,1.9,0.945097691642657,1.08920375506083,0.0527955455084642,1.02940395463651,9.4071503257066
"16...76","BSpp","50-60",1,2019,"BS","pp",50,60,"BSpp_1","BSpp_1_50-60",0.9379,0.0019,-70,1.9,0.842094535740027,0.883584022521973,0.045577671378851,0.744061277232946,11.5826571885495
"17...77","BSpp","50-60",2,2019,"BS","pp",50,60,"BSpp_2","BSpp_2_50-60",0.9667,0.002,-41.5,2,0.842094535740027,1.20146107673645,0.0578060522675514,1.01174380762409,9.85828160866341
"18...78","BSpp","50-60",3,2019,"BS","pp",50,60,"BSpp_3","BSpp_3_50-60",0.8344,0.0035,-172.7,3.5,0.842094535740027,0.498385161161423,0.0336328558623791,0.419687420907947,9.82683774661455
"19...79","BSpp","60-70",1,2019,"BS","pp",60,70,"BSpp_1","BSpp_1_60-70",0.9009,0.0029,-106.7,2.9,0.708592989021008,0.696821987628937,0.0406269915401936,0.493763175029548,12.0764203635791
"20...80","BSpp","60-70",2,2019,"BS","pp",60,70,"BSpp_2","BSpp_2_60-70",0.9595,0.002,-48.6,2,0.708592989021008,1.15992641448975,0.0525354370474815,0.821915725087713,10.6801973337511
"21...81","BSpp","60-70",3,2019,"BS","pp",60,70,"BSpp_3","BSpp_3_60-70",0.869,0.0029,-138.3,2.9,0.708592989021008,0.386733531951904,0.0261168200522661,0.274036669360451,10.100874415975
"1...82","BSrf","0-10",1,2019,"BS","rf",0,10,"BSrf_1","BSrf_1_0-10",1.0151,0.0025,6.6,2.5,0.777893511216274,3.91404747962952,0.181519970297813,3.04471213699621,3.04471213699621
"2...83","BSrf","0-10",2,2019,"BS","rf",0,10,"BSrf_2","BSrf_2_0-10",1.0407,0.0023,31.9,2.3,0.777893511216274,1.16053318977356,0.0595987886190414,0.902771237875977,0.902771237875977
"3...84","BSrf","0-10",3,2019,"BS","rf",0,10,"BSrf_3","BSrf_3_0-10",1.0756,0.0031,66.6,3.1,0.777893511216274,3.1669590473175,0.156542211771011,2.46355689319596,2.46355689319596
"4...85","BSrf","10-20",1,2019,"BS","rf",10,20,"BSrf_1","BSrf_1_10-20",1.0419,0.0028,33.1,2.8,0.779588661678566,1.80542075634003,0.0936459377408028,1.40748555120183,4.45219768819804
"5...86","BSrf","10-20",2,2019,"BS","rf",10,20,"BSrf_2","BSrf_2_10-20",1.0335,0.003,24.8,3,0.779588661678566,1.48981142044067,0.0577094778418541,1.16144009141479,2.06421132929076
