"","PMeco","fm","lyr_bot","pro_rep","Year","PM","ECO","Al_ox","Al_py","Fe_dc","Fe_ox","year","d14c"
"72","GRrf",0.9882,30,"3",2019,"granite","cold",2.70497118078543,2.70497118078543,2.93805606703742,1.80538053628843,19,-20.0141072463698
"73","GRwf",1.0086,10,"1",2019,"granite","cool",6.10012182889486,2.60923985751654,4.29521158151286,2.73261788917358,19,0.216324055162476
"74","GRwf",1.0178,10,"2",2019,"granite","cool",6.10012182889486,2.60923985751654,4.29521158151286,2.73261788917358,19,9.33985189702979
"75","GRwf",1.0336,10,"3",2019,"granite","cool",6.10012182889486,2.60923985751654,4.29521158151286,2.73261788917358,19,25.0085192776284
"76","GRwf",0.9342,20,"1",2019,"granite","cool",4.58623547534661,2.00122545061734,4.28988818440717,2.61820987117567,19,-73.565248926896
"77","GRwf",1.0143,20,"2",2019,"granite","cool",4.58623547534661,2.00122545061734,4.28988818440717,2.61820987117567,19,5.8689445658846
"78","GRwf",1.0052,20,"3",2019,"granite","cool",4.58623547534661,2.00122545061734,4.28988818440717,2.61820987117567,19,-3.15541449509282
"79","GRwf",0.9159,30,"1",2019,"granite","cool",4.38713157937025,1.66588539544517,4.39317534036228,2.56338952264469,19,-91.7131358297409
"80","GRwf",0.9938,30,"2",2019,"granite","cool",4.38713157937025,1.66588539544517,4.39317534036228,2.56338952264469,19,-14.4606555165373
"81","GRwf",0.9804,30,"3",2019,"granite","cool",4.38713157937025,1.66588539544517,4.39317534036228,2.56338952264469,19,-27.749272155779
"82","ANpp",1.0974272757431,10,"1",2009,"andesite","warm",15.6918904381968,5.43564956456918,39.6206027811948,4.39062672521814,9,89.6225699888564
"83","ANpp",0.976789765279136,20,"1",2009,"andesite","warm",16.7799261541642,4.1927233983413,45.1277220851047,4.61678690883707,9,-30.1569881598104
"84","ANpp",0.977771158192196,30,"1",2009,"andesite","warm",15.9847030576769,3.83467001667087,46.7148174185386,4.55662606428335,9,-29.1825747369502
"85","ANrf",1.07564627564277,10,"1",2009,"andesite","cold",31.5737866273885,7.15323273973237,10.3708054908725,5.67885790550017,9,67.9964724507067
"86","ANrf",0.976536384600613,20,"1",2009,"andesite","cold",34.4341740727262,5.47787986595205,11.5778196020113,5.95011093385526,9,-30.4085668404392
"87","ANrf",0.953293936760284,30,"1",2009,"andesite","cold",34.1444201028567,5.11890056399373,11.5819687427447,5.9917516260884,9,-53.4857185646502
"88","ANwf",1.01312295426775,10,"1",2009,"andesite","cool",31.7198622863752,10.3290278986733,13.2222795835593,6.496340690641,9,5.91780571193756
"89","ANwf",0.960007633458044,20,"1",2009,"andesite","cool",36.7120681293262,8.841328929924,15.2385400632336,6.84522811291924,9,-46.8197684724356
"90","ANwf",0.940163087155228,30,"1",2009,"andesite","cool",38.8096544688208,7.14737383075395,16.1420546926304,7.00742330836137,9,-66.5231839248128
"91","BSpp",1.08026636237856,10,"1",2009,"basalt","warm",8.47927902097102,4.56953397512228,46.4508757659556,2.5564697760045,9,72.5837019591129
"92","BSpp",1.06717204048361,20,"1",2009,"basalt","warm",8.82680778847546,4.74536175646616,48.3893041649917,2.27326136105573,9,59.5825045305418
"93","BSpp",1.02292809389805,30,"1",2009,"basalt","warm",7.96982583224705,4.21171321934301,51.6521821073928,2.04282313997897,9,15.6532129495925
"94","BSrf",1.01406581956179,10,"1",2009,"basalt","cold",5.62652899702271,2.18857753464796,6.76326669255518,2.83663187854641,9,6.85396551728701
"95","BSrf",0.986730413091917,20,"1",2009,"basalt","cold",11.8709992665818,2.64704042697527,8.91707652707603,3.23866872498817,9,-20.2870364495408
"96","BSrf",0.945672644881152,30,"1",2009,"basalt","cold",14.2486579764587,2.79751586167425,9.62701753027015,3.42016534864106,9,-61.0528091842557
"97","BSwf",1.0905152439502,10,"1",2009,"basalt","cool",18.3833879406017,7.02995344498555,7.54486741560158,2.60374031620789,9,82.759695325086
"98","BSwf",1.07987155668684,20,"1",2009,"basalt","cool",20.9143932096374,4.02855771861269,10.6457699677523,2.29614424664402,9,72.1917040545936
"99","BSwf",1.04932017061883,30,"1",2009,"basalt","cool",22.686697815354,2.15227285120966,12.45425078361,2.10244120668552,9,41.857593959137
"100","GRpp",1.08075802178474,10,"1",2009,"granite","warm",1.08901427369773,1.08223136144367,7.62654034665593,0.989735495346631,9,73.0718647718716
"101","GRpp",1.03721366147745,20,"1",2009,"granite","warm",0.96115055256264,0.86211550306783,8.14704269530666,0.867982880951397,9,29.8371841371794
"102","GRpp",1.01077951068608,30,"1",2009,"granite","warm",0.877345163071333,0.653991851540573,9.50367411754546,0.777225301712144,9,3.59102828028313
"103","GRrf",1.0429784399847,10,"1",2009,"granite","cold",2.70034415866976,2.70034415866976,2.49417311233336,2.00460326789689,9,35.560964574691
"104","GRrf",1.04364642827486,20,"1",2009,"granite","cold",2.68954205973229,2.68954205973229,2.72150592369395,1.83789839965424,9,36.2242022520614
"105","GRrf",1.02362436260871,30,"1",2009,"granite","cold",2.70497118078543,2.70497118078543,2.93805606703742,1.80538053628843,9,16.3445299221838
"106","GRwf",1.08108757184796,10,"1",2009,"granite","cool",6.10012182889486,2.60923985751654,4.29521158151286,2.73261788917358,9,73.3990711342054
"107","GRwf",1.030976868695,20,"1",2009,"granite","cool",4.58623547534661,2.00122545061734,4.28988818440717,2.61820987117567,9,23.6447463052549
"108","GRwf",0.995998197007563,30,"1",2009,"granite","cool",4.38713157937025,1.66588539544517,4.39317534036228,2.56338952264469,9,-11.0851633491763
"109","ANpp",1.08461765993673,10,"1",2001,"andesite","warm",15.6918904381968,5.43564956456918,39.6206027811948,4.39062672521814,1,77.9467429924881
"110","ANpp",0.984548940188659,20,"1",2001,"andesite","warm",16.7799261541642,4.1927233983413,45.1277220851047,4.61678690883707,1,-21.5065063065859
