SampleName,PMeco,ID,dw_g,timepoint_cmtv,sheet_name,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,time_d,mgCO2_jar
9_GRpp_comp_20-30,GRpp,GRpp_20-30_2019_b,15.42,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,5.805045238
10_ANrf_comp_0-10,ANrf,ANrf_0-10_2019_b,15.36,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,8.752217746
11_ANrf_comp_10-20,ANrf,ANrf_10-20_2019_b,15.43,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,5.983941395
12_ANrf_comp_20-30,ANrf,ANrf_20-30_2019_b,15.83,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,4.259508119
13_ANwf_comp_0-10,ANwf,ANwf_0-10_2019_b,15.01,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,6.82799707
14_ANwf_comp_10-20,ANwf,ANwf_10-20_2019_b,14.92,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,8.102889145
15_ANwf_comp_20-30,ANwf,ANwf_20-30_2019_b,15.6,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,7.887571083
16_ANpp_comp_0-10,ANpp,ANpp_0-10_2019_b,15.6,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,10.79373356
17_ANpp_comp_10-20,ANpp,ANpp_10-20_2019_b,15.5,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,5.829858614
18_ANpp_comp_20-30,ANpp,ANpp_20-30_2019_b,15.82,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,6.23814873
19_BSrf_comp_0-10,BSrf,BSrf_0-10_2019_b,15.86,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,5.434658724
20_BSrf_comp_10-20,BSrf,BSrf_10-20_2019_b,15.82,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,4.999142241
21_BSrf_comp_20-30,BSrf,BSrf_20-30_2019_b,15.45,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,3.347524826
22_BSwf_comp_0-10,BSwf,BSwf_0-10_2019_b,15.37,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,4.798857612
23_BSwf_comp_10-20,BSwf,BSwf_10-20_2019_b,15.11,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,4.876846042
24_BSwf_comp_20-30,BSwf,BSwf_20-30_2019_b,15.31,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,2.563575624
25_BSpp_comp_0-10,BSpp,BSpp_0-10_2019_b,15.38,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,9.860510029
26_BSpp_comp_10-20,BSpp,BSpp_10-20_2019_b,15.06,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,7.647989401
27_BSpp_comp_20-30,BSpp,BSpp_20-30_2019_b,15.42,4,2019_IncRep_15.07.20,,44020.5,2020,7,8.5,44027.47917,2020,7,15.47916667,6.979166667,4.451730631
1_GRrf_comp_0-10,GRrf,GRrf_0-10_2019_b,15.61,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.45833,2020,7,17.45833333,8.958333333,6.031934807
2_GRrf_comp_10-20,GRrf,GRrf_10-20_2019_b,15.8,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.45833,2020,7,17.45833333,8.958333333,3.312801087
3_GRrf_comp_20-30,GRrf,GRrf_20-30_2019_b,15.54,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.45833,2020,7,17.45833333,8.958333333,2.330356349
4_GRwf_comp_0-10,GRwf,GRwf_0-10_2019_b,15.46,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.45833,2020,7,17.45833333,8.958333333,8.147459892
5_GRwf_comp_10-20,GRwf,GRwf_10-20_2019_b,15.31,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.45833,2020,7,17.45833333,8.958333333,5.221479214
6_GRwf_comp_20-30,GRwf,GRwf_20-30_2019_b,15.31,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.45833,2020,7,17.45833333,8.958333333,4.131615321
7_GRpp_comp_0-10,GRpp,GRpp_0-10_2019_b,15.46,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.45833,2020,7,17.45833333,8.958333333,19.07241636
8_GRpp_comp_10-20,GRpp,GRpp_10-20_2019_b,15.53,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.45833,2020,7,17.45833333,8.958333333,17.75474299
9_GRpp_comp_20-30,GRpp,GRpp_20-30_2019_b,15.42,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.45833,2020,7,17.45833333,8.958333333,7.072978246
10_ANrf_comp_0-10,ANrf,ANrf_0-10_2019_b,15.36,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.45833,2020,7,17.45833333,8.958333333,9.772167094
11_ANrf_comp_10-20,ANrf,ANrf_10-20_2019_b,15.43,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.45833,2020,7,17.45833333,8.958333333,6.838155258
12_ANrf_comp_20-30,ANrf,ANrf_20-30_2019_b,15.83,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.45833,2020,7,17.45833333,8.958333333,4.367313508
13_ANwf_comp_0-10,ANwf,ANwf_0-10_2019_b,15.01,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.45833,2020,7,17.45833333,8.958333333,7.54937626
14_ANwf_comp_10-20,ANwf,ANwf_10-20_2019_b,14.92,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.47917,2020,7,17.47916667,8.979166667,9.236853939
15_ANwf_comp_20-30,ANwf,ANwf_20-30_2019_b,15.6,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.47917,2020,7,17.47916667,8.979166667,9.145591602
16_ANpp_comp_0-10,ANpp,ANpp_0-10_2019_b,15.6,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.47917,2020,7,17.47916667,8.979166667,11.33462867
17_ANpp_comp_10-20,ANpp,ANpp_10-20_2019_b,15.5,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.47917,2020,7,17.47916667,8.979166667,6.108703315
18_ANpp_comp_20-30,ANpp,ANpp_20-30_2019_b,15.82,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.47917,2020,7,17.47916667,8.979166667,7.195700343
19_BSrf_comp_0-10,BSrf,BSrf_0-10_2019_b,15.86,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.47917,2020,7,17.47916667,8.979166667,5.948357402
20_BSrf_comp_10-20,BSrf,BSrf_10-20_2019_b,15.82,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.47917,2020,7,17.47916667,8.979166667,5.456395563
21_BSrf_comp_20-30,BSrf,BSrf_20-30_2019_b,15.45,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.47917,2020,7,17.47916667,8.979166667,3.290690905
22_BSwf_comp_0-10,BSwf,BSwf_0-10_2019_b,15.37,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.47917,2020,7,17.47916667,8.979166667,5.331339872
23_BSwf_comp_10-20,BSwf,BSwf_10-20_2019_b,15.11,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.47917,2020,7,17.47916667,8.979166667,5.261416894
24_BSwf_comp_20-30,BSwf,BSwf_20-30_2019_b,15.31,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.47917,2020,7,17.47916667,8.979166667,2.735782364
25_BSpp_comp_0-10,BSpp,BSpp_0-10_2019_b,15.38,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.47917,2020,7,17.47916667,8.979166667,11.07122243
26_BSpp_comp_10-20,BSpp,BSpp_10-20_2019_b,15.06,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.47917,2020,7,17.47916667,8.979166667,8.536880553
27_BSpp_comp_20-30,BSpp,BSpp_20-30_2019_b,15.42,5,2019_IncRep_17.07.20,,44020.5,2020,7,8.5,44029.47917,2020,7,17.47916667,8.979166667,5.178508379
1_GRrf_comp_0-10,GRrf,GRrf_0-10_2019_b,15.61,6,2019_IncRep_20.07.20,,44020.5,2020,7,8.5,44032.5,2020,7,20.5,12,6.849969146
2_GRrf_comp_10-20,GRrf,GRrf_10-20_2019_b,15.8,6,2019_IncRep_20.07.20,,44020.5,2020,7,8.5,44032.5,2020,7,20.5,12,3.969471085
3_GRrf_comp_20-30,GRrf,GRrf_20-30_2019_b,15.54,6,2019_IncRep_20.07.20,,44020.5,2020,7,8.5,44032.5,2020,7,20.5,12,2.916395893
4_GRwf_comp_0-10,GRwf,GRwf_0-10_2019_b,15.46,6,2019_IncRep_20.07.20,,44020.5,2020,7,8.5,44032.5,2020,7,20.5,12,9.74013599
