SampleName,PMeco,ID,dw_g,timepoint_cmtv,sheet_name,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,time_d,mgCO2_jar
6_GRwf_comp_20-30,GRwf,GRwf_20-30_2019_a,15.3,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.45833,2020,2,19.45833333,7,3.526206066
7_GRpp_comp_0-10,GRpp,GRpp_0-10_2019_a,15.46,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.45833,2020,2,19.45833333,7,12.09056354
8_GRpp_comp_10-20,GRpp,GRpp_10-20_2019_a,15.5,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.45833,2020,2,19.45833333,7,9.698094442
9_GRpp_comp_20-30,GRpp,GRpp_20-30_2019_a,15.4,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.45833,2020,2,19.45833333,7,3.840391648
10_ANrf_comp_0-10,ANrf,ANrf_0-10_2019_a,15.3,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.45833,2020,2,19.45833333,7,4.729463129
11_ANrf_comp_10-20,ANrf,ANrf_10-20_2019_a,15.4,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.45833,2020,2,19.45833333,7,4.257226136
12_ANrf_comp_20-30,ANrf,ANrf_20-30_2019_a,15.8,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.45833,2020,2,19.45833333,7,5.45902641
13_ANwf_comp_0-10,ANwf,ANwf_0-10_2019_a,15.07,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.45833,2020,2,19.45833333,7,4.467731297
14_ANwf_comp_10-20,ANwf,ANwf_10-20_2019_a,14.9,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.47917,2020,2,19.47916667,7.020833333,4.645628282
15_ANwf_comp_20-30,ANwf,ANwf_20-30_2019_a,15.6,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.47917,2020,2,19.47916667,7.020833333,5.465593033
16_ANpp_comp_0-10,ANpp,ANpp_0-10_2019_a,15.58,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.47917,2020,2,19.47916667,7.020833333,10.41746942
17_ANpp_comp_10-20,ANpp,ANpp_10-20_2019_a,15.5,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.47917,2020,2,19.47916667,7.020833333,4.644819367
18_ANpp_comp_20-30,ANpp,ANpp_20-30_2019_a,15.8,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.47917,2020,2,19.47916667,7.020833333,5.054027254
19_BSrf_comp_0-10,BSrf,BSrf_0-10_2019_a,15.8,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.47917,2020,2,19.47916667,7.020833333,4.478780385
20_BSrf_comp_10-20,BSrf,BSrf_10-20_2019_a,15.8,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.47917,2020,2,19.47916667,7.020833333,4.401544565
21_BSrf_comp_20-30,BSrf,BSrf_20-30_2019_a,15.4,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.47917,2020,2,19.47916667,7.020833333,4.283422326
22_BSwf_comp_0-10,BSwf,BSwf_0-10_2019_a,15.35,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.47917,2020,2,19.47916667,7.020833333,4.095222322
23_BSwf_comp_10-20,BSwf,BSwf_10-20_2019_a,15.1,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.47917,2020,2,19.47916667,7.020833333,4.355780811
